"time","total","anger","disgust","joy","undefined"
2018-04-23 16:46:53.322960,15,3,6,1,5
2018-04-23 16:47:45.893059,9,2,3,0,4
2018-04-23 16:48:31.323780,1048,318,261,125,344
2018-04-23 16:50:11.185055,1069,298,320,117,334
2018-04-23 16:54:59.498178,6226,861,673,1618,3074
2018-04-23 17:27:33.892921,1,0,0,0,1
2018-04-23 17:28:08.921663,1,0,1,0,0
2018-04-23 17:29:20.087262,1,0,0,0,1
2018-04-24 09:40:47.086496,2555,394,372,409,1380
2018-04-24 11:46:55.241611,1,0,0,1,0
2018-04-24 11:47:05.045691,1,0,0,1,0
2018-04-24 11:47:15.797424,1,1,0,0,0
2018-04-24 11:47:25.725785,1,1,0,0,0
2018-04-24 18:02:57.478560,8717,1789,1725,1272,3931
2018-04-24 18:26:21.783805,1,0,0,1,0
2018-04-24 18:26:52.605770,15,3,6,1,5
2018-04-24 18:29:01.497790,1,0,0,0,1
2018-04-24 18:30:06.992476,1,0,1,0,0
2018-04-24 18:32:27.823880,1,0,0,0,1
2018-04-26 10:01:58.136592,15,3,6,1,5
2018-04-26 10:03:36.701287,1,0,0,0,1
2018-04-26 10:06:35.414085,1,0,0,0,1
2018-04-26 11:45:54.951382,15,3,6,1,5
2018-04-26 13:22:20.116436,1048,318,261,125,344
2018-04-26 13:58:59.470925,1066,94,607,25,340
2018-04-26 14:01:31.942777,1,0,0,0,1
2018-04-26 16:51:00.517618,15,3,6,1,5
